chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,850,18,699,159,151,850,858,0,0,55.70,milp
35,7000,8832,30,950,0,771,189,179,950,960,0,0,58.49,milp
35,7000,8832,30,950,2,777,176,173,950,953,0,0,58.22,milp
35,7000,8832,30,950,4,750,206,200,950,956,0,0,58.84,milp
35,7000,8832,30,950,6,776,178,174,950,954,0,0,58.85,milp
35,7000,8832,30,950,8,772,183,178,950,955,0,0,57.84,milp
35,7000,8832,30,950,10,761,192,189,950,953,0,0,57.92,milp
35,7000,8832,30,950,12,773,185,177,950,958,0,0,58.42,milp
35,7000,8832,30,950,14,756,197,194,950,953,0,0,58.91,milp
35,7000,8832,30,950,16,764,199,186,950,963,0,0,58.17,milp
35,7000,8832,30,950,18,768,190,182,950,958,0,0,59.26,milp
35,7000,8832,30,1050,0,824,242,226,1050,1066,0,0,62.38,milp
35,7000,8832,30,1050,2,839,219,211,1050,1058,0,0,61.76,milp
35,7000,8832,30,1050,4,809,251,241,1050,1060,0,0,62.69,milp
35,7000,8832,30,1050,6,846,208,204,1050,1054,0,0,62.60,milp
35,7000,8832,30,1050,8,826,230,224,1050,1056,0,0,61.28,milp
35,7000,8832,30,1050,10,806,249,244,1050,1055,0,0,61.56,milp
35,7000,8832,30,1050,12,831,230,219,1050,1061,0,0,61.87,milp
35,7000,8832,30,1050,14,816,254,234,1050,1070,0,0,62.67,milp
35,7000,8832,30,1050,16,813,250,237,1050,1063,0,0,61.97,milp
35,7000,8832,30,1050,18,814,246,236,1050,1060,0,0,62.52,milp
35,7000,8832,30,1150,0,886,285,264,1150,1171,0,0,66.15,milp
35,7000,8832,30,1150,2,891,270,259,1150,1161,0,0,65.55,milp
35,7000,8832,30,1150,4,863,303,287,1150,1166,0,0,66.53,milp
35,7000,8832,30,1150,6,893,268,257,1150,1161,0,0,66.44,milp
35,7000,8832,30,1150,8,869,290,281,1150,1159,0,0,65.27,milp
35,7000,8832,30,1150,10,847,314,303,1150,1161,0,0,66.18,milp
35,7000,8832,30,1150,12,882,280,268,1150,1162,0,0,65.75,milp
35,7000,8832,30,1150,14,865,314,285,1150,1179,0,0,65.85,milp
35,7000,8832,30,1150,16,871,295,279,1150,1166,0,0,66.17,milp
35,7000,8832,30,1150,18,857,304,293,1150,1161,0,0,65.35,milp
35,7000,8832,30,1250,0,932,345,318,1250,1277,0,0,70.15,milp
35,7000,8832,30,1250,2,940,325,310,1250,1265,0,0,69.71,milp
35,7000,8832,30,1250,4,912,376,338,1250,1288,0,0,70.66,milp
35,7000,8832,30,1250,6,936,334,314,1250,1270,0,0,70.04,milp
35,7000,8832,30,1250,8,925,340,325,1250,1265,0,0,69.31,milp
35,7000,8832,30,1250,10,892,373,358,1250,1265,0,0,69.65,milp
35,7000,8832,30,1250,12,935,339,315,1250,1274,0,0,69.03,milp
35,7000,8832,30,1250,14,910,374,340,1250,1284,0,0,70.54,milp
35,7000,8832,30,1250,16,918,356,332,1250,1274,0,0,70.08,milp
35,7000,8832,30,1250,18,892,381,358,1250,1273,0,0,70.04,milp
35,7000,8832,30,1350,0,970,427,380,1350,1397,0,0,74.73,milp
35,7000,8832,30,1350,2,985,389,365,1350,1374,0,0,73.51,milp
35,7000,8832,30,1350,4,954,465,396,1350,1419,0,0,74.08,milp
35,7000,8832,30,1350,6,981,401,369,1350,1382,0,0,74.61,milp
35,7000,8832,30,1350,8,954,419,396,1350,1373,0,0,73.40,milp
35,7000,8832,30,1350,10,950,428,400,1350,1378,0,0,73.85,milp
35,7000,8832,30,1350,12,972,404,378,1350,1376,0,0,73.97,milp
35,7000,8832,30,1350,14,959,451,391,1350,1410,0,0,74.68,milp
35,7000,8832,30,1350,16,962,438,388,1350,1400,0,0,74.14,milp
35,7000,8832,30,1350,18,941,445,409,1350,1386,0,0,74.55,milp
35,7000,8832,30,1450,0,1011,507,439,1450,1518,0,0,78.21,milp
35,7000,8832,30,1450,2,1006,496,444,1450,1502,0,0,77.79,milp
35,7000,8832,30,1450,4,987,593,463,1450,1580,0,0,79.05,milp
35,7000,8832,30,1450,6,1025,474,425,1450,1499,0,0,78.72,milp
35,7000,8832,30,1450,8,1000,501,450,1450,1501,0,0,77.82,milp
35,7000,8832,30,1450,10,996,506,454,1450,1502,0,0,78.10,milp
35,7000,8832,30,1450,12,1009,489,441,1450,1498,0,0,77.97,milp
35,7000,8832,30,1450,14,996,533,454,1450,1529,0,0,78.84,milp
35,7000,8832,30,1450,16,985,555,465,1450,1540,0,0,78.34,milp
35,7000,8832,30,1450,18,971,538,479,1450,1509,0,0,78.75,milp
35,7000,8832,30,1550,0,1054,621,496,1550,1675,0,0,83.23,milp
35,7000,8832,30,1550,2,1056,579,494,1550,1635,0,0,82.19,milp
35,7000,8832,30,1550,4,1031,729,519,1550,1760,0,0,82.86,milp
35,7000,8832,30,1550,6,1057,574,493,1550,1631,0,0,82.53,milp
35,7000,8832,30,1550,8,1040,594,510,1550,1634,0,0,81.58,milp
35,7000,8832,30,1550,10,1039,591,511,1550,1630,0,0,81.29,milp
35,7000,8832,30,1550,12,1050,580,500,1550,1630,0,0,81.77,milp
35,7000,8832,30,1550,14,1012,660,538,1550,1672,0,0,83.22,milp
35,7000,8832,30,1550,16,1006,673,544,1550,1679,0,0,82.27,milp
35,7000,8832,30,1550,18,1007,662,543,1550,1669,0,0,82.72,milp
35,7000,8832,30,1650,0,1081,765,569,1650,1846,0,0,87.63,milp
35,7000,8832,30,1650,2,1076,711,574,1650,1787,0,0,86.55,milp
35,7000,8832,30,1650,4,1052,913,598,1650,1965,0,0,87.26,milp
35,7000,8832,30,1650,6,1089,692,561,1650,1781,0,0,87.15,milp
35,7000,8832,30,1650,8,1072,726,578,1650,1798,0,0,86.26,milp
35,7000,8832,30,1650,10,1066,713,584,1650,1779,0,0,88.99,milp
35,7000,8832,30,1650,12,1082,700,568,1650,1782,0,0,86.94,milp
35,7000,8832,30,1650,14,1039,805,611,1650,1844,0,0,87.93,milp
35,7000,8832,30,1650,16,1033,819,617,1650,1852,0,0,86.78,milp
35,7000,8832,30,1650,18,1041,772,609,1650,1813,0,0,87.68,milp
35,7000,8832,30,1750,0,1113,926,637,1750,2039,0,0,92.73,milp
35,7000,8832,30,1750,2,1095,870,655,1750,1965,0,0,91.36,milp
35,7000,8832,30,1750,4,1074,1178,676,1750,2252,0,0,91.49,milp
35,7000,8832,30,1750,6,1130,842,620,1750,1972,0,0,92.13,milp
35,7000,8832,30,1750,8,1090,901,660,1750,1991,0,0,90.85,milp
35,7000,8832,30,1750,10,1095,899,655,1750,1994,0,0,91.38,milp
35,7000,8832,30,1750,12,1097,869,653,1750,1966,0,0,91.84,milp
35,7000,8832,30,1750,14,1067,979,683,1750,2046,0,0,92.16,milp
35,7000,8832,30,1750,16,1072,996,678,1750,2068,0,0,91.61,milp
35,7000,8832,30,1750,18,1084,911,666,1750,1995,0,0,92.31,milp
35,7000,8832,30,1850,0,1132,1160,718,1850,2292,0,0,97.46,milp
35,7000,8832,30,1850,2,1132,1053,718,1850,2185,0,0,96.98,milp
35,7000,8832,30,1850,4,1100,1419,750,1850,2519,0,0,96.91,milp
35,7000,8832,30,1850,6,1144,1041,706,1850,2185,0,0,97.80,milp
35,7000,8832,30,1850,8,1105,1068,745,1850,2173,0,0,95.62,milp
35,7000,8832,30,1850,10,1114,1056,736,1850,2170,0,0,95.58,milp
35,7000,8832,30,1850,12,1102,1109,748,1850,2211,0,0,96.74,milp
35,7000,8832,30,1850,14,1098,1251,752,1850,2349,0,0,97.94,milp
35,7000,8832,30,1850,16,1097,1209,753,1850,2306,0,0,97.29,milp
35,7000,8832,30,1850,18,1106,1084,744,1850,2190,0,0,97.91,milp
35,7000,8832,30,1950,0,1149,1438,801,1950,2587,0,0,102.07,milp
35,7000,8832,30,1950,2,1152,1301,798,1950,2453,0,0,101.61,milp
35,7000,8832,30,1950,4,1118,1738,832,1950,2856,0,0,101.56,milp
35,7000,8832,30,1950,6,1159,1310,791,1950,2469,0,0,102.62,milp
35,7000,8832,30,1950,8,1118,1301,832,1950,2419,0,0,100.10,milp
35,7000,8832,30,1950,10,1137,1306,813,1950,2443,0,0,100.78,milp
35,7000,8832,30,1950,12,1123,1384,827,1950,2507,0,0,102.16,milp
35,7000,8832,30,1950,14,1120,1510,830,1950,2630,0,0,103.90,milp
35,7000,8832,30,1950,16,1125,1512,825,1950,2637,0,0,102.13,milp
35,7000,8832,30,1950,18,1120,1339,830,1950,2459,0,0,102.30,milp
35,7000,8832,30,2050,0,1178,1789,872,2050,2967,0,0,107.62,milp
35,7000,8832,30,2050,2,1181,1606,869,2050,2787,0,0,107.65,milp
35,7000,8832,30,2050,4,1146,2135,904,2050,3281,0,0,107.58,milp
35,7000,8832,30,2050,6,1172,1646,878,2050,2818,0,0,107.08,milp
35,7000,8832,30,2050,8,1135,1672,915,2050,2807,0,0,106.07,milp
35,7000,8832,30,2050,10,1152,1669,898,2050,2821,0,0,105.53,milp
35,7000,8832,30,2050,12,1138,1787,912,2050,2925,0,0,108.08,milp
35,7000,8832,30,2050,14,1145,1878,905,2050,3023,0,0,107.94,milp
35,7000,8832,30,2050,16,1144,1862,906,2050,3006,0,0,107.63,milp
35,7000,8832,30,2050,18,1127,1833,923,2050,2960,0,0,108.58,milp
35,7000,8832,30,2150,0,1186,2290,964,2150,3476,0,0,114.00,milp
35,7000,8832,30,2150,2,1194,2108,956,2150,3302,0,0,112.59,milp
35,7000,8832,30,2150,4,1172,2748,978,2150,3920,0,0,113.51,milp
35,7000,8832,30,2150,6,1193,2083,957,2150,3276,0,0,112.90,milp
35,7000,8832,30,2150,8,1166,2144,984,2150,3310,0,0,112.46,milp
35,7000,8832,30,2150,10,1170,2097,980,2150,3267,0,0,111.48,milp
35,7000,8832,30,2150,12,1164,2235,986,2150,3399,0,0,112.95,milp
35,7000,8832,30,2150,14,1174,2276,976,2150,3450,0,0,114.07,milp
35,7000,8832,30,2150,16,1165,2447,985,2150,3612,0,0,112.65,milp
35,7000,8832,30,2150,18,1137,2315,1013,2150,3452,0,0,114.19,milp
35,7000,8832,30,2250,0,1210,3037,1040,2250,4247,0,0,119.50,milp
35,7000,8832,30,2250,2,1209,2652,1041,2250,3861,0,0,119.16,milp
35,7000,8832,30,2250,4,1189,3464,1061,2250,4653,0,0,119.17,milp
35,7000,8832,30,2250,6,1193,2760,1057,2250,3953,0,0,119.32,milp
35,7000,8832,30,2250,8,1183,2659,1067,2250,3842,0,0,118.88,milp
35,7000,8832,30,2250,10,1186,2677,1064,2250,3863,0,0,117.90,milp
35,7000,8832,30,2250,12,1166,2888,1084,2250,4054,0,0,119.64,milp
35,7000,8832,30,2250,14,1173,3093,1077,2250,4266,0,0,120.65,milp
35,7000,8832,30,2250,16,1161,3171,1089,2250,4332,0,0,119.03,milp
35,7000,8832,30,2250,18,1150,3023,1100,2250,4173,0,0,120.81,milp
35,7000,8832,30,2350,0,1218,4078,1132,2350,5296,0,0,126.48,milp
35,7000,8832,30,2350,2,1232,3407,1118,2350,4639,0,0,125.42,milp
35,7000,8832,30,2350,4,1196,4690,1154,2350,5886,0,0,126.36,milp
35,7000,8832,30,2350,6,1213,3462,1137,2350,4675,0,0,126.10,milp
35,7000,8832,30,2350,8,1186,3558,1164,2350,4744,0,0,123.68,milp
35,7000,8832,30,2350,10,1203,3581,1147,2350,4784,0,0,123.68,milp
35,7000,8832,30,2350,12,1188,3682,1162,2350,4870,0,0,124.49,milp
35,7000,8832,30,2350,14,1184,3978,1166,2350,5162,0,0,126.84,milp
35,7000,8832,30,2350,16,1171,4285,1179,2350,5456,0,0,127.11,milp
35,7000,8832,30,2350,18,1165,3852,1185,2350,5017,0,0,126.46,milp
35,7000,8832,30,2450,0,1233,5196,1217,2450,6429,0,0,132.10,milp
35,7000,8832,30,2450,2,1251,4386,1199,2450,5637,0,0,130.66,milp
35,7000,8832,30,2450,4,1204,5817,1246,2450,7021,0,0,132.76,milp
35,7000,8832,30,2450,6,1209,4540,1241,2450,5749,0,0,132.93,milp
35,7000,8832,30,2450,8,1186,4671,1264,2450,5857,0,0,130.73,milp
35,7000,8832,30,2450,10,1220,4618,1230,2450,5838,0,0,130.51,milp
35,7000,8832,30,2450,12,1197,4686,1253,2450,5883,0,0,131.65,milp
35,7000,8832,30,2450,14,1194,5200,1256,2450,6394,0,0,133.17,milp
35,7000,8832,30,2450,16,1188,5581,1262,2450,6769,0,0,133.71,milp
35,7000,8832,30,2450,18,1166,4896,1284,2450,6062,0,0,132.65,milp
35,7000,8832,30,2550,0,1239,6623,1311,2550,7862,0,0,139.69,milp
35,7000,8832,30,2550,2,1241,5776,1309,2550,7017,0,0,138.21,milp
35,7000,8832,30,2550,4,1217,7388,1333,2550,8605,0,0,139.40,milp
35,7000,8832,30,2550,6,1220,5936,1330,2550,7156,0,0,139.41,milp
35,7000,8832,30,2550,8,1197,6069,1353,2550,7266,0,0,137.43,milp
35,7000,8832,30,2550,10,1213,6035,1337,2550,7248,0,0,136.81,milp
35,7000,8832,30,2550,12,1189,6380,1361,2550,7569,0,0,138.23,milp
35,7000,8832,30,2550,14,1208,6605,1342,2550,7813,0,0,140.19,milp
35,7000,8832,30,2550,16,1199,7336,1351,2550,8535,0,0,140.05,milp
35,7000,8832,30,2550,18,1155,6436,1395,2550,7591,0,0,140.44,milp
35,7000,8832,30,2650,0,1244,8480,1406,2650,9724,0,0,146.14,milp
35,7000,8832,30,2650,2,1231,7604,1419,2650,8835,0,0,144.74,milp
35,7000,8832,30,2650,4,1231,9480,1419,2650,10711,0,0,146.94,milp
35,7000,8832,30,2650,6,1225,8044,1425,2650,9269,0,0,145.59,milp
35,7000,8832,30,2650,8,1207,7687,1443,2650,8894,0,0,143.64,milp
35,7000,8832,30,2650,10,1209,7901,1441,2650,9110,0,0,144.57,milp
35,7000,8832,30,2650,12,1194,8281,1456,2650,9475,0,0,145.22,milp
35,7000,8832,30,2650,14,1213,8329,1437,2650,9542,0,0,147.36,milp
35,7000,8832,30,2650,16,1200,9449,1450,2650,10649,0,0,147.43,milp
35,7000,8832,30,2650,18,1159,8278,1491,2650,9437,0,0,147.77,milp
35,7000,8832,30,2750,0,1245,10507,1505,2750,11752,0,0,155.09,milp
35,7000,8832,30,2750,2,1220,9942,1530,2750,11162,0,0,154.47,milp
35,7000,8832,30,2750,4,1220,12034,1530,2750,13254,0,0,154.88,milp
35,7000,8832,30,2750,6,1211,10918,1539,2750,12129,0,0,155.66,milp
35,7000,8832,30,2750,8,1214,10174,1536,2750,11388,0,0,152.52,milp
35,7000,8832,30,2750,10,1207,10518,1543,2750,11725,0,0,152.57,milp
35,7000,8832,30,2750,12,1200,10388,1550,2750,11588,0,0,153.46,milp
35,7000,8832,30,2750,14,1209,10495,1541,2750,11704,0,0,154.39,milp
35,7000,8832,30,2750,16,1205,11650,1545,2750,12855,0,0,154.58,milp
35,7000,8832,30,2750,18,1155,10484,1595,2750,11639,0,0,155.99,milp
35,7000,8832,30,2850,0,1246,13705,1604,2850,14951,0,0,161.72,milp
35,7000,8832,30,2850,2,1204,13586,1646,2850,14790,0,0,161.90,milp
