chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,3550,12,1147,64419,2403,3550,65566,0,0,230.14,milp
35,7000,8832,30,3550,14,1142,64591,2408,3550,65733,0,0,231.29,milp
35,7000,8832,30,3550,16,1123,67039,2427,3550,68162,0,0,231.11,milp
35,7000,8832,30,3550,18,1103,64224,2447,3550,65327,0,0,232.31,milp
35,7000,8832,30,3650,0,1152,77409,2498,3650,78561,0,0,243.18,milp
35,7000,8832,30,3650,2,1116,77891,2534,3650,79007,0,0,243.65,milp
35,7000,8832,30,3650,4,1140,81301,2510,3650,82441,0,0,245.39,milp
35,7000,8832,30,3650,6,1149,72469,2501,3650,73618,0,0,239.16,milp
35,7000,8832,30,3650,8,1155,74763,2495,3650,75918,0,0,239.05,milp
35,7000,8832,30,3650,10,1091,74843,2559,3650,75934,1,0,239.25,milp
35,7000,8832,30,3650,12,1145,77199,2505,3650,78344,0,0,242.06,milp
35,7000,8832,30,3650,14,1129,79101,2521,3650,80230,0,0,243.26,milp
35,7000,8832,30,3650,16,1104,78214,2546,3650,79318,0,0,242.38,milp
35,7000,8832,30,3650,18,1100,77505,2550,3650,78605,0,0,241.62,milp
35,7000,8832,30,3750,0,1126,93296,2624,3750,94422,0,0,255.47,milp
35,7000,8832,30,3750,2,1095,92734,2655,3750,93829,0,0,256.94,milp
35,7000,8832,30,3750,4,1133,96464,2617,3750,97597,0,0,258.05,milp
35,7000,8832,30,3750,6,1135,86604,2615,3750,87739,0,0,252.39,milp
35,7000,8832,30,3750,8,1149,87963,2601,3750,89112,0,0,251.07,milp
35,7000,8832,30,3750,10,1083,88581,2667,3750,89664,1,0,252.16,milp
35,7000,8832,30,3750,12,1133,92314,2617,3750,93447,0,0,255.00,milp
35,7000,8832,30,3750,14,1113,95242,2637,3750,96355,0,0,255.48,milp
35,7000,8832,30,3750,16,1101,94327,2649,3750,95428,0,0,256.09,milp
35,7000,8832,30,3750,18,1100,91952,2650,3750,93052,0,0,254.80,milp
35,7000,8832,30,3850,0,1110,107523,2740,3850,108633,0,0,267.74,milp
35,7000,8832,30,3850,2,1086,109716,2764,3850,110802,0,0,269.90,milp
35,7000,8832,30,3850,4,1119,113685,2731,3850,114804,0,0,268.97,milp
35,7000,8832,30,3850,6,1122,102809,2728,3850,103931,0,0,262.56,milp
35,7000,8832,30,3850,8,1138,101063,2712,3850,102201,0,0,261.47,milp
35,7000,8832,30,3850,10,1075,103259,2775,3850,104334,1,0,261.25,milp
35,7000,8832,30,3850,12,1118,109365,2732,3850,110483,0,0,268.54,milp
35,7000,8832,30,3850,14,1093,112486,2757,3850,113579,0,0,271.14,milp
35,7000,8832,30,3850,16,1095,109478,2755,3850,110573,0,0,266.58,milp
35,7000,8832,30,3850,18,1095,106370,2755,3850,107465,0,0,267.67,milp
35,7000,8832,30,3950,0,1085,126811,2865,3950,127896,0,0,281.42,milp
35,7000,8832,30,3950,2,1058,128500,2892,3950,129558,0,0,283.48,milp
35,7000,8832,30,3950,4,1085,130771,2865,3950,131856,0,0,282.80,milp
35,7000,8832,30,3950,6,1117,123123,2833,3950,124240,0,0,279.93,milp
35,7000,8832,30,3950,8,1127,116864,2823,3950,117991,0,0,273.24,milp
35,7000,8832,30,3950,10,1064,121160,2886,3950,122224,1,0,275.89,milp
35,7000,8832,30,3950,12,1115,126186,2835,3950,127301,0,0,281.81,milp
35,7000,8832,30,3950,14,1082,131399,2868,3950,132481,0,0,283.67,milp
35,7000,8832,30,3950,16,1090,128553,2860,3950,129643,0,0,282.72,milp
35,7000,8832,30,3950,18,1069,125061,2881,3950,126130,0,0,278.57,milp
35,7000,8832,30,4050,0,1057,148089,2993,4050,149146,0,0,296.26,milp
35,7000,8832,30,4050,2,1055,147385,2995,4050,148440,0,0,295.82,milp
35,7000,8832,30,4050,4,1073,152217,2977,4050,153290,0,0,295.70,milp
35,7000,8832,30,4050,6,1104,140874,2946,4050,141978,0,0,290.12,milp
35,7000,8832,30,4050,8,1109,134257,2941,4050,135366,0,0,286.06,milp
35,7000,8832,30,4050,10,1056,140854,2994,4050,141910,1,0,290.34,milp
35,7000,8832,30,4050,12,1096,145422,2954,4050,146518,0,0,293.87,milp
35,7000,8832,30,4050,14,1057,153839,2993,4050,154896,0,0,296.71,milp
35,7000,8832,30,4050,16,1080,150828,2970,4050,151908,0,0,295.62,milp
35,7000,8832,30,4050,18,1052,146284,2998,4050,147336,0,0,294.20,milp
35,7000,8832,30,4150,0,1048,171099,3102,4150,172147,0,0,312.50,milp
35,7000,8832,30,4150,2,1054,168884,3096,4150,169938,0,0,308.12,milp
35,7000,8832,30,4150,4,1054,173889,3096,4150,174943,0,0,310.28,milp
35,7000,8832,30,4150,6,1071,164544,3079,4150,165615,0,0,304.91,milp
35,7000,8832,30,4150,8,1092,154833,3058,4150,155925,0,0,301.35,milp
35,7000,8832,30,4150,10,1027,163683,3123,4150,164710,1,0,303.76,milp
35,7000,8832,30,4150,12,1082,165286,3068,4150,166368,0,0,305.88,milp
35,7000,8832,30,4150,14,1025,180662,3125,4150,181687,0,0,311.25,milp
35,7000,8832,30,4150,16,1061,171802,3089,4150,172863,0,0,311.47,milp
35,7000,8832,30,4150,18,1041,166773,3109,4150,167814,0,0,308.02,milp
35,7000,8832,30,4250,0,1036,194575,3214,4250,195611,0,0,324.22,milp
35,7000,8832,30,4250,2,1039,191623,3211,4250,192662,0,0,323.32,milp
35,7000,8832,30,4250,4,1039,196644,3211,4250,197683,0,0,324.15,milp
35,7000,8832,30,4250,6,1067,190259,3183,4250,191326,0,0,319.53,milp
35,7000,8832,30,4250,8,1066,181660,3184,4250,182726,0,0,318.74,milp
35,7000,8832,30,4250,10,1013,189492,3237,4250,190505,1,0,318.21,milp
35,7000,8832,30,4250,12,1060,189305,3190,4250,190365,0,0,321.82,milp
35,7000,8832,30,4250,14,1008,205444,3242,4250,206452,0,0,328.44,milp
35,7000,8832,30,4250,16,1043,194534,3207,4250,195577,0,0,325.62,milp
35,7000,8832,30,4250,18,1040,191008,3210,4250,192048,0,0,321.13,milp
35,7000,8832,30,4350,0,1029,219458,3321,4350,220487,0,0,337.42,milp
35,7000,8832,30,4350,2,1028,215592,3322,4350,216620,0,0,335.42,milp
35,7000,8832,30,4350,4,1022,223847,3328,4350,224869,0,0,339.73,milp
35,7000,8832,30,4350,6,1054,216893,3296,4350,217947,0,0,339.23,milp
35,7000,8832,30,4350,8,1057,209854,3293,4350,210911,0,0,333.90,milp
35,7000,8832,30,4350,10,1001,212166,3349,4350,213167,1,0,334.76,milp
35,7000,8832,30,4350,12,1044,217530,3306,4350,218574,0,0,338.48,milp
35,7000,8832,30,4350,14,986,235051,3364,4350,236037,0,0,347.25,milp
35,7000,8832,30,4350,16,1027,221002,3323,4350,222029,0,0,341.89,milp
35,7000,8832,30,4350,18,1029,218528,3321,4350,219557,0,0,338.94,milp
35,7000,8832,30,4450,0,1020,246537,3430,4450,247557,0,0,355.64,milp
35,7000,8832,30,4450,2,1002,244798,3448,4450,245800,0,0,353.38,milp
35,7000,8832,30,4450,4,993,254636,3457,4450,255629,0,0,359.80,milp
35,7000,8832,30,4450,6,1048,246823,3402,4450,247871,0,0,356.29,milp
35,7000,8832,30,4450,8,1043,235823,3407,4450,236866,0,0,351.17,milp
35,7000,8832,30,4450,10,991,237467,3459,4450,238458,1,0,348.21,milp
35,7000,8832,30,4450,12,1013,245511,3437,4450,246524,0,0,351.47,milp
35,7000,8832,30,4450,14,960,265128,3490,4450,266088,0,0,364.71,milp
35,7000,8832,30,4450,16,1013,252638,3437,4450,253651,0,0,360.43,milp
35,7000,8832,30,4450,18,1018,248761,3432,4450,249779,0,0,355.30,milp
35,7000,8832,30,4550,0,990,278732,3560,4550,279721,1,0,372.94,milp
35,7000,8832,30,4550,2,994,272346,3556,4550,273340,0,0,369.36,milp
35,7000,8832,30,4550,4,973,283070,3577,4550,284043,1,0,374.35,milp
35,7000,8832,30,4550,6,1033,278965,3517,4550,279998,0,0,375.46,milp
35,7000,8832,30,4550,8,1046,264209,3504,4550,265255,0,0,365.79,milp
35,7000,8832,30,4550,10,975,267434,3575,4550,268409,1,0,364.80,milp
35,7000,8832,30,4550,12,997,271678,3553,4550,272675,0,0,368.30,milp
35,7000,8832,30,4550,14,946,294718,3604,4550,295664,0,0,384.22,milp
35,7000,8832,30,4550,16,1007,285455,3543,4550,286462,0,0,379.77,milp
35,7000,8832,30,4550,18,995,282788,3555,4550,283783,0,0,379.31,milp
35,7000,8832,30,4650,0,967,314915,3683,4650,315882,1,0,396.32,milp
35,7000,8832,30,4650,2,981,307744,3669,4650,308725,0,0,390.70,milp
35,7000,8832,30,4650,4,965,321595,3685,4650,322560,1,0,394.44,milp
35,7000,8832,30,4650,6,1018,313801,3632,4650,314819,0,0,396.82,milp
35,7000,8832,30,4650,8,1032,294836,3618,4650,295868,0,0,385.40,milp
35,7000,8832,30,4650,10,947,303050,3703,4650,303997,1,0,389.66,milp
35,7000,8832,30,4650,12,979,300360,3671,4650,301339,0,0,384.59,milp
35,7000,8832,30,4650,14,935,329820,3715,4650,330755,0,0,404.16,milp
35,7000,8832,30,4650,16,994,320223,3656,4650,321217,0,0,400.71,milp
35,7000,8832,30,4650,18,978,316168,3672,4650,317146,0,0,394.35,milp
35,7000,8832,30,4750,0,963,353668,3787,4750,354631,1,0,416.12,milp
35,7000,8832,30,4750,2,973,340466,3777,4750,341439,0,0,411.33,milp
35,7000,8832,30,4750,4,958,354067,3792,4750,355025,1,0,417.03,milp
35,7000,8832,30,4750,6,1002,348370,3748,4750,349372,0,0,411.92,milp
35,7000,8832,30,4750,8,1009,325818,3741,4750,326827,0,0,403.16,milp
35,7000,8832,30,4750,10,936,336975,3814,4750,337911,1,0,404.61,milp
35,7000,8832,30,4750,12,968,334111,3782,4750,335079,0,0,406.14,milp
35,7000,8832,30,4750,14,911,365175,3839,4750,366086,0,0,421.10,milp
35,7000,8832,30,4750,16,968,359932,3782,4750,360900,0,0,422.19,milp
35,7000,8832,30,4750,18,960,351013,3790,4750,351973,0,0,412.79,milp
35,7000,8832,30,4850,0,943,389588,3907,4850,390531,1,0,434.80,milp
35,7000,8832,30,4850,2,961,373974,3889,4850,374935,0,0,430.62,milp
35,7000,8832,30,4850,4,942,392721,3908,4850,393663,1,0,436.73,milp
35,7000,8832,30,4850,6,981,383109,3869,4850,384090,0,0,432.52,milp
35,7000,8832,30,4850,8,1005,357841,3845,4850,358846,0,0,421.79,milp
35,7000,8832,30,4850,10,914,376041,3936,4850,376955,1,0,428.28,milp
35,7000,8832,30,4850,12,952,369355,3898,4850,370307,0,0,422.64,milp
35,7000,8832,30,4850,14,897,403462,3953,4850,404359,0,0,442.38,milp
35,7000,8832,30,4850,16,959,398836,3891,4850,399795,0,0,440.35,milp
35,7000,8832,30,4850,18,951,383654,3899,4850,384605,0,0,434.80,milp
35,7000,8832,30,4950,0,936,426175,4014,4950,427111,1,0,451.67,milp
35,7000,8832,30,4950,2,943,412083,4007,4950,413026,0,0,449.44,milp
35,7000,8832,30,4950,4,919,427335,4031,4950,428254,1,0,455.76,milp
35,7000,8832,30,4950,6,959,424133,3991,4950,425092,0,0,456.05,milp
35,7000,8832,30,4950,8,989,396606,3961,4950,397595,0,0,441.48,milp
35,7000,8832,30,4950,10,900,415618,4050,4950,416518,1,0,448.60,milp
35,7000,8832,30,4950,12,945,407756,4005,4950,408701,0,0,442.07,milp
35,7000,8832,30,4950,14,882,448355,4068,4950,449237,0,0,465.14,milp
35,7000,8832,30,4950,16,948,431725,4002,4950,432673,0,0,455.60,milp
35,7000,8832,30,4950,18,929,421489,4021,4950,422418,0,0,450.15,milp
35,7000,8832,30,5050,0,917,465437,4133,5050,466354,1,0,474.63,milp
35,7000,8832,30,5050,2,927,457174,4123,5050,458101,0,0,474.05,milp
35,7000,8832,30,5050,4,904,468507,4146,5050,469411,1,0,472.51,milp
35,7000,8832,30,5050,6,950,462919,4100,5050,463869,0,0,476.66,milp
35,7000,8832,30,5050,8,962,434475,4088,5050,435437,0,0,456.85,milp
35,7000,8832,30,5050,10,881,454107,4169,5050,454988,1,0,465.95,milp
35,7000,8832,30,5050,12,941,444478,4109,5050,445419,0,0,465.37,milp
35,7000,8832,30,5050,14,867,487747,4183,5050,488614,0,0,482.18,milp
35,7000,8832,30,5050,16,929,475801,4121,5050,476730,0,0,479.32,milp
35,7000,8832,30,5050,18,925,459826,4125,5050,460751,0,0,472.97,milp
